Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.25,0.0,0.0,0.0,2.8,0.316,0.28,0.188,0.263,0.021,0.122,0.055,0.345,0.115,0.172,0.118,0.07,0.115,0.154,0.083,0.065
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.167,0.643,0.435,0.303,0.395,0.267,0.316,0.19,0.176,0.143,0.169,0.118,0.177
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.5,1.0,0.167,0.429,0.1,0.455,0.25,0.05,0.19,0.44,0.722,0.242,0.364,0.0,0.048,0.327,0.233,0.328,0.289,0.162
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.833,0.364,0.667,0.36,0.353,0.283,0.305,0.195,0.207,0.225,0.169,0.264,0.194,0.35,0.108
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.333,1.25,2.333,0.233,0.189,0.341,0.271,0.227,0.174,0.213,0.282,0.274,0.294,0.285,0.194
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.5,0.333,0.0,1.75,0.182,0.077,0.0,0.929,0.037,0.464,0.317,0.389,0.307,0.224,0.017,0.254,0.248,0.209,0.143,0.136,0.197,0.206,0.127,0.098,0.103
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.333,0.0,0.25,1.0,0.4,0.5,0.762,0.811,0.119,0.173,0.386,0.459,0.236,0.314,0.221,0.221,0.19,0.374,0.174,0.221,0.131
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,0.0,1.333,0.286,0.222,0.545,0.412,0.167,0.571,0.523,0.254,0.119,0.309,0.276,0.312,0.296,0.281,0.266,0.231,0.21,0.202,0.187,0.203,0.152
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.333,0.25,0.0,1.0,0.2,0.667,0.2,0.792,0.349,0.328,0.39,0.28,0.314,0.189,0.294,0.289,0.218,0.257,0.17,0.206,0.12,0.202,0.13,0.141,0.111
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.25,0.6,0.5,0.333,0.188,0.368,0.308,0.265,0.256,0.222,0.167,0.195,0.163,0.159,0.169,0.338,0.222,0.228,0.216,0.212,0.198,0.189,0.185,0.178,0.158,0.149,0.131,0.116,0.086,0.083,0.075,0.067,0.074,0.076,0.064,0.058,0.049,0.044,0.051,0.048,0.041,0.042
China,,0.059,0.444,0.615,0.333,0.464,0.598,0.015,0.286,0.246,0.216,0.394,0.177,0.155,0.147,0.124,0.134,0.121,0.124,0.118,0.099,0.004,0.226,0.111,0.093,0.062,0.055,0.075,0.056,0.058,0.0,0.092,0.001,0.061,0.027,0.02,0.011,0.016,0.017,0.012,0.015,0.011,0.012,0.011,0.01,0.009,0.009,0.007,0.005,0.007,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.002,0.001,0.002,0.005,0.0,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.0,0.002,0.002,0.001
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.5,0.333,0.5,0.333,0.0,0.0,1.625,0.0,1.667,0.0,0.286,0.917,0.29,0.315,0.205,0.191,0.259,0.102,0.245,0.312,0.342,0.206,0.146,0.271,0.315,0.241,0.234
France,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.333,0.0,0.5,0.5,0.222,0.727,0.0,0.737,0.455,0.0,0.646,0.152,0.0,0.637,0.0,0.0,0.638,0.848,0.248,0.201,0.275,0.278,0.21,0.274,0.176,0.16,0.127,0.16,0.166,0.145,0.335,0.208
US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.167,0.571,0.091,0.167,0.214,0.235,0.048,0.273,0.286,0.111,0.175,0.149,0.167,0.349,0.271,0.093,0.695,0.22,0.258,0.358,0.336,0.268,0.334,0.283,0.308,0.281,0.218,0.207,0.301,0.228,0.246,0.196
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.667,1.0,0.7,0.647,0.25,0.543,0.019,1.418,0.466,0.482,0.183,0.558,0.169,0.332,0.257,0.318,0.289,0.304,0.215,0.299,0.197,0.177,0.164,0.137,0.134,0.097,0.109,0.102,0.082
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.333,0.429,0.2,0.417,0.235,0.381,0.172,0.529,0.519,0.354,0.383,0.331,0.183,0.571,0.265,0.363,0.311,0.0,0.531,0.138,0.255,0.193,0.16,0.19,0.143,0.184,0.197,0.135,0.11,0.122,0.1,0.095,0.112,0.097,0.075,0.075,0.072,0.058,0.058,0.055
